name, size, width, height
P_PF_Arutua_Atoll_l8.jpg,"(1510, 1357)",1357,1510
P_PF_Faaite_Atoll_l64 (1).jpg,"(1388, 995)",995,1388
P_PF_Faaite_Atoll_l64.jpg,"(1388, 995)",995,1388
P_PF_Faaite_Atoll_l8.jpg,"(1388, 995)",995,1388
P_PF_Fakahina_Atoll_l64.jpg,"(420, 291)",291,420
P_PF_Fakahina_Atoll_l8.jpg,"(420, 291)",291,420
P_PF_Fakarava_Atoll_l64.jpg,"(2468, 2524)",2524,2468
P_PF_Fakarava_Atoll_l8.jpg,"(2468, 2524)",2524,2468
P_PF_Fangatau_Atoll_l64.jpg,"(391, 276)",276,391
P_PF_Fangatau_Atoll_l8.jpg,"(391, 276)",276,391
P_PF_Fangataufa_Atoll_l64.jpg,"(362, 347)",347,362
P_PF_Fangataufa_Atoll_l8.jpg,"(362, 347)",347,362
P_PF_Hao_Atoll_l64.jpg,"(1692, 1568)",1568,1692
P_PF_Hao_Atoll_l8.jpg,"(1692, 1568)",1568,1692
P_PF_Haraiki_Atoll_l64.jpg,"(449, 360)",360,449
P_PF_Haraiki_Atoll_l8.jpg,"(449, 360)",360,449
P_PF_Hikueru_Atoll_l64.jpg,"(679, 519)",519,679
P_PF_Hikueru_Atoll_l8.jpg,"(679, 519)",519,679
P_PF_Hiti_Atoll_l64.jpg,"(429, 380)",380,429
P_PF_Hiti_Atoll_l8.jpg,"(429, 380)",380,429
P_PF_Katiu_Atoll_l64.jpg,"(1305, 1114)",1114,1305
P_PF_Katiu_Atoll_l8.jpg,"(1305, 1114)",1114,1305
P_PF_Kauehi_Atoll_l64.jpg,"(1275, 1059)",1059,1275
P_PF_Kauehi_Atoll_l8.jpg,"(1275, 1059)",1059,1275
P_PF_Kaukura_Atoll_l64.jpg,"(2080, 1138)",1138,2080
P_PF_Kaukura_Atoll_l8.jpg,"(2080, 1138)",1138,2080
P_PF_Manihi_Atoll_l64.jpg,"(1142, 760)",760,1142
P_PF_Manihi_Atoll_l8.jpg,"(1142, 760)",760,1142
P_PF_Manuhangi_Atoll_l64.jpg,"(272, 298)",298,272
P_PF_Manuhangi_Atoll_l8.jpg,"(272, 298)",298,272
P_PF_Maria_Est_Atoll_l64.jpg,"(145, 195)",195,145
P_PF_Maria_Est_Atoll_l8.jpg,"(145, 195)",195,145
P_PF_Marokau_Atoll_l64.jpg,"(954, 911)",911,954
P_PF_Marokau_Atoll_l8.jpg,"(954, 911)",911,954
P_PF_Marutea_Nord_Atoll_l64.jpg,"(1347, 1277)",1277,1347
P_PF_Marutea_Nord_Atoll_l8 (1).jpg,"(1347, 1277)",1277,1347
P_PF_Marutea_Nord_Atoll_l8.jpg,"(1347, 1277)",1277,1347
